,id,date_published,link,caption_original,caption_cleaned,hashtags,num_comments,num_shares,num_likes,Reactions_SUM,category,matched_keywords,language,average_sentiment_score,sentiment,account_name,,,,, ,Top 1,Top 2,Top 3
1,2017-03-21_13-18-58,3/21/2017 13:18,https://instagram.fyvr3-1.fna.fbcdn.net/vp/1c398b6551c84a1de18a76fbdffdfea7/5AE56680/t51.2885-15/e35/17437937_209687492849287_6334839726649901056_n.jpg,"Happy , probably one of our favourite days of the year!! Did you know one of our parks houses a rainforest? We're not kidding! In Pacific Rim National Park Reserve, you will find an open forest of trees so twisted and stunted they have taken a form of their own, and a mass of plants so thick it's impossible to see the soil beneath it. This luxurious abondance is due to rain, and lots of it, thanks to Pacific Ocean nearby. ️ Picture by ",Happy InternationalDayOfForests probably one favourite days year nDid know one parks houses rainforest kidding Pacific Rim National Park Reserve find open forest trees twisted stunted taken form mass plants thick impossible see soil beneath luxurious abondance due rain lots thanks Pacific Ocean nearby Picture taylormichaelburk parkscanada canada canada150 explorecanada explorebc intldayofforests internationaldayofforests dayofforests forestday worldforestday forest rainforest pacificrim pacificrimnpr hellobc bc conservation rain ocean pacificocean water,"[""internationaldayofforests"",""parkscanada"",""canada"",""canada150"",""explorecanada"",""explorebc"",""intldayofforests"",""internationaldayofforests"",""dayofforests"",""forestday"",""worldforestday"",""forest"",""rainforest"",""pacificrim"",""pacificrimnpr"",""hellobc"",""bc"",""conservation"",""rain"",""ocean"",""pacificocean"",""water""]",15,,2254,2269,Environmental,"['park', 'park', 'forest', 'tree', 'plant', 'ocean']",en,0.091481481,positive,parks.canada_instagram,,,,Recall Park Marine Conservation,Jun,4074,3932,3431
2,2017-03-04_18-28-40,3/4/2017 18:28,https://instagram.fyvr3-1.fna.fbcdn.net/vp/2f71721c6512ff679fe178fac9057f10/5ADBF35E/t51.2885-15/e35/16907017_385452881831068_3463875872795131904_n.jpg,Imagine having this view all to yourself. The Hole in the Wall Lake in Nahanni National Park Reserve makes a strong case for going off the beaten paths in the most remote parts of our beautiful country! ,Imagine view Hole Wall Lake Nahanni National Park Reserve makes strong case going beaten paths remote parts beautiful country explorecanada northwestterritories parkscanada canada hiking landscape conservation nature adventure NahanniNPR Nahanni NWT spectacularNWT Canada150,"[""explorecanada"",""northwestterritories"",""parkscanada"",""canada"",""hiking"",""landscape"",""conservation"",""nature"",""adventure"",""nahanninpr"",""nahanni"",""nwt"",""spectacularnwt"",""canada150""]",31,,2222,2253,Environmental,"['lake', 'park']",en,0.205603448,positive,parks.canada_instagram,,,,Park Sea Mountain Travel Photo,Jul,4646,4278,3561
0,137563459593611_1678417548841520,4/4/2017 19:00,https://www.facebook.com/ParksCanada/videos/1678417548841520/,"You’ve probably seen us mention our Discover Canada contest, but maybe you didn’t realize how epic this prize is! The trip of a lifetime to Gros Morne National Park and L’Anse aux Meadows National Historic Site in Newfoundland and Labrador could be yours! Tag your best travel buddies and make sure you ALL enter to increase your chances! #ParksContest

http://www.parkscanadacontest.ca/discovercanada/go","You’ve probably seen us mention our Discover Canada contest, but maybe you didn’t realize how epic this prize is! The trip of a lifetime to Gros Morne National Park and L’Anse aux Meadows National Historic Site in Newfoundland and Labrador could be yours! Tag your best travel buddies and make sure you ALL enter to increase your chances!",['#ParksContest'],7901,5145,4560,18246,Social,"['park', 'travel']",en,0.05772578,positive,ParksCanada_facebook,,,,Park Nature Coast,Aug,7303,4639,4639
1,2017-04-30_17-12-34,4/30/2017 17:12,https://instagram.fyvr3-1.fna.fbcdn.net/vp/118354ef2e328b6242c6649c0f3bb122/5AF26D37/t51.2885-15/e35/18252862_401791336859890_7326981376798883840_n.jpg,"Drumrolls please! Come on, you can do better! *louder drumrolls* This our th post!!!!!!! Very fitting since we're also celebrating this year It will be a busy year for us, so make sure to plan your vacations with us ahead of time or, even better, visit us during the shoulder seasons! Awesome picture taken in by ",Drumrolls please Come better louder drumrolls nThis 150th post fitting since also celebrating Canada150 year nIt busy year us make sure plan vacations us ahead time even better visit us shoulder seasons nAwesome picture taken BanffNP coldclearwater travel travelphotography nature naturelovers naturephotography wild conservation wildlifephotography photooftheday travel instagood beautiful photography outdoors adventure landscape naturephotography parkscanada canada150 canada explorecanada,"[""canada150"",""banffnp"",""travel"",""travelphotography"",""nature"",""naturelovers"",""naturephotography"",""wild"",""conservation"",""wildlifephotography"",""photooftheday"",""travel"",""instagood"",""beautiful"",""photography"",""outdoors"",""adventure"",""landscape"",""naturephotography"",""parkscanada"",""canada150"",""canada"",""explorecanada""]",81,,5226,5307,unknown,[],en,0.303033372,positive,parks.canada_instagram,,,,Park Adventure Eclipse2017,Sep,4707,4457,4445
2,137563459593611_1709231929093415,4/25/2017 14:41,https://www.facebook.com/BanffNP/photos/a.327032723995910.83820.256686371030546/1533660846666419/?type=3,Exciting news for the bison herd in Banff!,Exciting news for the bison herd in Banff!,[],89,1,3444,4274,unknown,[],en,0.289197443,positive,ParksCanada_facebook,,,,Park Adventure Hiking,Oct,5411,5297,4818
0,8.60102E+17,5/4/2017 12:02,"['https://t.co/5fTSLgdPJt', 'https://t.co/axE5xmIprF']",#Recall All-Terrain Armored Transport the hydraulics could fail in extreme cold causing the #ATAT to fall https://t.co/5fTSLgdPJt #MayThe4th https://t.co/axE5xmIprF,Recall Terrain Armored Transport hydraulics could fail extreme cold causing ATAT fall https co 5fTSLgdPJt MayThe4th https co axE5xmIprF,"['#Recall', '#ATAT', '#MayThe4th']",,3039,3409,6448,Economical,"['#recall', 'transport']",en,-0.408333333,Negative,Transport_gc_tweeter,,,,Forest Coast Park,Nov,24496,24496,24496
1,137563459593611_1713034198713188,5/2/2017 16:00,https://www.facebook.com/ParksCanada/photos/a.179253688757921.51944.137563459593611/1713034198713188/?type=3,"Would you like to join our dynamic team of park wardens and park warden-supervisors? As peace officers, park wardens protect Canada’s national parks, national marine conservation areas, and national historic sites in all regions of Canada. Apply now and get a chance to work in the beautiful setting of Canada’s protected areas! http://ow.ly/50xK30be2vU","Would you like to join our dynamic team of park wardens and park warden-supervisors? As peace officers, park wardens protect Canada’s national parks, national marine conservation areas, and national historic sites in all regions of Canada. Apply now and get a chance to work in the beautiful setting of Canada’s protected areas! U",[],515,1777,2352,4787,Environmental,"['park', 'park', 'park', 'park', 'marine', 'conservation']",en,0.00849359,positive,ParksCanada_facebook,,,,Park Nature Coast Limestone,Dec,9563,6005,5667
2,8.63013E+17,5/12/2017 12:47,"['https://t.co/pBnIVA0kzB', 'https://t.co/CpCZh4Gf']",BREAKING: First-ever footage of #Narwhals using their tusks to feed in the #Arctic  #OdySci https://t.co/pBnIVA0kzB https://t.co/CpCZh4Gfd0,BREAKING First ever footage Narwhals using tusks feed Arctic OdySci https co pBnIVA0kzB https co CpCZh4Gfd0,"['#Narwhals', '#Arctic', '#OdySci']",,1768,2570,4338,Environmental,"['breaking', '#arctic', '#odysci']",en,0,Neutral,DFO_Science_tweeter,,,,,,,,
0,2017-06-01_13-47-36,6/1/2017 13:47,https://instagram.fyvr3-1.fna.fbcdn.net/vp/01c55be861d69e3a3203b5545ef23875/5AEC799F/t51.2885-15/e35/18812488_1998098483745497_3692631650660777984_n.jpg,"A hiker’s paradise, the challenging beauty of Cape Breton Highlands National Park calls out to be elored! You’ll get rewarded at the end of your hike, with magnificent cliffs rising from the sea in a rugged coastline. Picture by   ",paradise challenging beauty Cape Breton Highlands National Park calls explored get rewarded end hike magnificent cliffs rising sea rugged coastline nPicture Scottophoto capebreton novascotia visitnovascotia visitcapebreton hikenovascotia hiking hikingadventures camping letscamp thegreatoutdoors wanderlust exploremore campingadventures canada explorecanada parkscanada letsgosomewhere canada150 instatravel getoutside neverstopexploring wildernessculture nature naturelovers naturephotography wild conservation photooftheday travel travelgram,"[""capebreton"",""novascotia"",""visitnovascotia"",""visitcapebreton"",""hikenovascotia"",""hiking"",""hikingadventures"",""camping"",""letscamp"",""thegreatoutdoors"",""wanderlust"",""exploremore"",""campingadventures"",""canada"",""explorecanada"",""parkscanada"",""letsgosomewhere"",""canada150"",""instatravel"",""getoutside"",""neverstopexploring"",""wildernessculture"",""nature"",""naturelovers"",""naturephotography"",""wild"",""conservation"",""photooftheday"",""travel"",""travelgram""]",157,,3917,4074,Environmental,"['park', 'sea']",en,0.371437948,positive,parks.canada_instagram,,,,,,,,
1,2017-06-27_13-06-43,6/27/2017 13:06,https://instagram.fyvr3-1.fna.fbcdn.net/vp/6e6ed019803f46d0c5e55c2bead30abc/5AE8675C/t51.2885-15/e35/19429543_1629612480384980_5852443078865977344_n.jpg,"See red at Waterton Lakes National Park! ️ Clear lakes, thundering waterfalls, rainbow-coloured streams, colourful rocks and mountain vistas await hikers and sightseers. Arrive early and travel midweek to get the most out of your eerience. : .....",See red Waterton Lakes National Park Clear lakes thundering waterfalls rainbow coloured streams colourful rocks mountain vistas await hikers sightseers Arrive early travel midweek get experience wildernessculture explorecanada canada150 travelawesome roadtrip outdooradventurephotos outdoorstyle adventureisoutthere adventureawaits getoutside keepitwild neverstopexploring mountainadventures mindthemountains themountainsarecalling thegreatoutdoors watertonnationalpark explorealberta travelalberta hikealberta parkscanada,"[""wildernessculture"",""explorecanada"",""canada150"",""travelawesome"",""roadtrip"",""outdooradventurephotos"",""outdoorstyle"",""adventureisoutthere"",""adventureawaits"",""getoutside"",""keepitwild"",""neverstopexploring"",""mountainadventures"",""mindthemountains"",""themountainsarecalling"",""thegreatoutdoors"",""watertonnationalpark"",""explorealberta"",""travelalberta"",""hikealberta"",""parkscanada""]",64,,3868,3932,Environmental,"['lake', 'mountain', 'travel']",en,0.143956163,positive,parks.canada_instagram,,,,,,,,
2,2017-06-04_17-36-03,6/4/2017 17:36,https://instagram.fyvr3-1.fna.fbcdn.net/vp/6e3c98ac954ae9a7e32da44965c56fc6/5AE9C6E8/t51.2885-15/e35/18812240_167867053749322_4138353190452068352_n.jpg,Would you look at these peaks and mountains out of a fairy tale?? Proof that Auyuittuq National Park has some of the most beautiful alpine scenery on Earth! Beautiful photo by ,Would look peaks mountains fairy tale Proof Auyuittuq National Park beautiful alpine scenery Earth nBeautiful photo arturstanisz baffinisland Auyuittuq AuyuittuqNP Nunavut hiking hikingadventures camping letscamp thegreatoutdoors wanderlust exploremore campingadventures canada explorecanada parkscanada letsgosomewhere canada150 instatravel getoutside neverstopexploring wildernessculture nature naturelovers naturephotography wild conservation photooftheday travel travelgram,"[""baffinisland"",""auyuittuq"",""auyuittuqnp"",""nunavut"",""hiking"",""hikingadventures"",""camping"",""letscamp"",""thegreatoutdoors"",""wanderlust"",""exploremore"",""campingadventures"",""canada"",""explorecanada"",""parkscanada"",""letsgosomewhere"",""canada150"",""instatravel"",""getoutside"",""neverstopexploring"",""wildernessculture"",""nature"",""naturelovers"",""naturephotography"",""wild"",""conservation"",""photooftheday"",""travel"",""travelgram""]",38,,3393,3431,Environmental,"['mountain', 'park', 'photo']",en,0.306597222,positive,parks.canada_instagram,,,,,,,,
0,2017-07-24_16-40-43,7/24/2017 16:40,https://instagram.fyvr3-1.fna.fbcdn.net/vp/5fbcdf4dabfb1716bedb64bbb6f63c8c/5AE0F0DD/t51.2885-15/e35/19051661_246560472519923_8850564048018735104_n.jpg,"Considered a remote adventurer’s paradise to many, Nahanni National Park Reserve offers everything a nature lover could ever want AND more! Make the trek out here, and your eedition dreams just may come true. ️ : .....",Considered remote paradise many Nahanni National Park Reserve offers everything nature lover could ever want Make trek expedition dreams may come true sortahamah Nahanni NahanniNP NWT ExploreNWT NorthwestTerritories instatravel vacation travelgram travel hiking photo instanature liveoutdoors instago wanderlust wanderer travelphotography ilovetravel trip tourism traveltheworld ParksCanada Canada150 canada voyage hike mountain canadathenorth canadiannorth canadiantrip,"[""nahanni"",""nahanninp"",""nwt"",""explorenwt"",""northwestterritories"",""instatravel"",""vacation"",""travelgram"",""travel"",""hiking"",""photo"",""instanature"",""liveoutdoors"",""instago"",""wanderlust"",""wanderer"",""travelphotography"",""ilovetravel"",""trip"",""tourism"",""traveltheworld"",""parkscanada"",""canada150"",""canada"",""voyage"",""hike"",""mountain"",""canadathenorth"",""canadiannorth"",""canadiantrip""]",36,,4610,4646,Environmental,"['park', 'nature', 'nature']",en,0.247738095,positive,parks.canada_instagram,,,,,,,,
1,2017-07-19_16-51-30,7/19/2017 16:51,https://instagram.fyvr3-1.fna.fbcdn.net/vp/581117a46b3497474e8341a2b6d1ad98/5AEB08C2/t51.2885-15/e35/20067131_1876117699304062_4996159331712892928_n.jpg,"Find your moment of peace: reflect on the beauty, and serenity the “Islands of Beauty”, Gwaii Haanas National Park Reserve has to offer! : .....",Find moment reflect beauty serenity Islands Gwaii Haanas National Park Reserve offer everythingeverywhere haidagwaii explorebc britishcolumbia beautifulbc explorecanada gwaiihaanas getoutside naturelovers nature haida neverstopexploring wanderlust travel explore forest islandlife canada parkscanada mountains hiking travelgram instanature travelphotography ilovetravel canada150 liveoutdoors instago,"[""haidagwaii"",""explorebc"",""britishcolumbia"",""beautifulbc"",""explorecanada"",""gwaiihaanas"",""getoutside"",""naturelovers"",""nature"",""haida"",""neverstopexploring"",""wanderlust"",""travel"",""explore"",""forest"",""islandlife"",""canada"",""parkscanada"",""mountains"",""hiking"",""travelgram"",""instanature"",""travelphotography"",""ilovetravel"",""canada150"",""liveoutdoors"",""instago""]",44,,4234,4278,Environmental,['park'],en,0.272301136,positive,parks.canada_instagram,,,,,,,,
2,2017-07-22_14-59-01,7/22/2017 14:59,https://instagram.fyvr3-1.fna.fbcdn.net/vp/167daabe6b94ea18c161d13b0f4066cc/5AF20DAB/t51.2885-15/e35/20225755_127032244576305_413246987123556352_n.jpg,"Tropical paradise in Canada? Look no further than the ultimate west coast beauty, Pacific Rim National Park Reserve! : .....",Tropical paradise Canada Look ultimate west coast beauty Pacific Rim National Park Reserve troubleandsqueak BeautifulBC PacificRim PacificRimNPR ExploreBC Sunrise MondayMotivation instatravel vacation travelgram travel hiking photo instanature liveoutdoors instago wanderlust wanderer travelphotography ilovetravel trip tourism traveltheworld ParksCanada Canada150,"[""beautifulbc"",""pacificrim"",""pacificrimnpr"",""explorebc"",""sunrise"",""mondaymotivation"",""instatravel"",""vacation"",""travelgram"",""travel"",""hiking"",""photo"",""instanature"",""liveoutdoors"",""instago"",""wanderlust"",""wanderer"",""travelphotography"",""ilovetravel"",""trip"",""tourism"",""traveltheworld"",""parkscanada"",""canada150""]",14,,3547,3561,Environmental,"['coast', 'park']",en,0.346153846,positive,parks.canada_instagram,,,,,,,,
0,2017-08-06_14-44-10,8/6/2017 14:44,https://instagram.fyvr3-1.fna.fbcdn.net/vp/577a5a5affea094b48725ef2c4459391/5AD95516/t51.2885-15/e35/20686915_160552274511372_4394924160074121216_n.jpg,"If you’re looking for a magical place to walk off into the sunset, this boardwalk in Gros Morne National Park is where your dreams can come true! Whether you’re looking for a dreamy, romantic sunset, or an invigorating outdoor adventure, a trip to Gros Morne is exactly what you’re looking for! by ",looking magical place walk sunset boardwalk Gros Morne National Park dreams come true Whether looking dreamy romantic sunset invigorating outdoor adventure trip Gros Morne exactly looking tomcochrane GrosMorne GrosMorneNP NL Newfoundland coastal Liveyouradventure Instatravel Vacation Sunset TravelGram Travel LiveOutdoors Instago Wanderlust Wanderer Travelphotography ILoveTravel Trip Vacay TravelTheWorld ParksCanada Canada150 Bucketlist DestinationCanada Dreamy,"[""grosmorne"",""grosmornenp"",""nl"",""newfoundland"",""coastal"",""liveyouradventure"",""instatravel"",""vacation"",""sunset"",""travelgram"",""travel"",""liveoutdoors"",""instago"",""wanderlust"",""wanderer"",""travelphotography"",""ilovetravel"",""trip"",""vacay"",""traveltheworld"",""parkscanada"",""canada150"",""bucketlist"",""destinationcanada"",""dreamy""]",235,,7068,7303,Social,"['sunset', 'park', 'sunset', 'adventure']",en,0.366922055,positive,parks.canada_instagram,,,,,,,,
1,8.99648E+17,8/21/2017 15:02,['https://t.co/c\xe2\x80\xa6'],"RT @NASA: Experience #Eclipse2017 with us! We’ll have live coverage of unique views, NASA experts + more from noon – 4pm ET: https://t.co/c…",RT NASA Experience Eclipse2017 us live coverage unique views NASA experts noon 4pm ET https co,['#Eclipse2017'],,4639,0,4639,Environmental,['#eclipse2017'],fr,0.337121212,Positive,ec_minister_tweeter,,,,,,,,
2,8.99648E+17,8/21/2017 15:03,['https://t.co/c\xe2\x80\xa6'],"RT @NASA: Experience #Eclipse2017 with us! We’ll have live coverage of unique views, NASA experts + more from noon – 4pm ET: https://t.co/c…",RT NASA Experience Eclipse2017 us live coverage unique views NASA experts noon 4pm ET https co,['#Eclipse2017'],,4639,0,4639,Environmental,['#eclipse2017'],fr,0.337121212,Positive,environmentca_tweeter,,,,,,,,
0,2017-09-13_18-01-24,9/13/2017 18:01,https://instagram.fyvr3-1.fna.fbcdn.net/vp/f2c43fef8174cf680c5663d005a890e0/5AE712F6/t51.2885-15/e35/21569295_1930581900547520_8026125997306806272_n.jpg,The electric skies of Torngat Mountains National Park are what dreams are made of. Have you added it to your bucket list yet? : ..... ,electric skies Torngat Mountains National Park dreams made added bucket list yet davebrosha TorngatMountains mountains glacier torngat newfoundlandandlabrador newfoundland eastcoast ParksCanada Canada150 Liveyouradventure Instatravel Vacation TravelGram Travel LiveOutdoors Instago Wanderlust Wanderer Travelphotography ILoveTravel Trip Vacay TravelTheWorld ParksCanada Canada150 Bucketlist,"[""torngatmountains"",""mountains"",""glacier"",""torngat"",""newfoundlandandlabrador"",""newfoundland"",""eastcoast"",""parkscanada"",""canada150"",""liveyouradventure"",""instatravel"",""vacation"",""travelgram"",""travel"",""liveoutdoors"",""instago"",""wanderlust"",""wanderer"",""travelphotography"",""ilovetravel"",""trip"",""vacay"",""traveltheworld"",""parkscanada"",""canada150"",""bucketlist""]",47,,4660,4707,Environmental,['park'],en,0.175219907,positive,parks.canada_instagram,,,,,,,,
1,2017-09-02_18-43-19,9/2/2017 18:43,https://instagram.fyvr3-1.fna.fbcdn.net/vp/4de39fc9c890fe577f3f867e722d5a91/5AFA88E9/t51.2885-15/e35/21227613_487991264893876_3896366198895411200_n.jpg,"Let adventure be your guide and discover somewhere completely new! Whether it’s hiking that seemingly impossible trail, or making the journey to a park you’ve always dreamed of visiting… see where your inner elorer takes you! ️ : Mount Revelstoke National Park : ..... ",Let adventure guide discover somewhere completely new Whether hiking seemingly impossible trail making journey park always dreamed see inner explorer takes Mount Revelstoke National Park toquesandboots mountrevelstoke mountrevelstokenp explorebc bc beautifulbc hellobc tourismbc travelbc britishcolumbia beautifulbritishcolumbia nationalpark park canada parkscanada exploreCanada ohcanada enjoycanada tourcanada instatravel travelgram tourism instago wanderlust ilovetravel getoutside travel rockymountain travelphotography,"[""mountrevelstoke"",""mountrevelstokenp"",""explorebc"",""bc"",""beautifulbc"",""hellobc"",""tourismbc"",""travelbc"",""britishcolumbia"",""beautifulbritishcolumbia"",""nationalpark"",""park"",""canada"",""parkscanada"",""explorecanada"",""ohcanada"",""enjoycanada"",""tourcanada"",""instatravel"",""travelgram"",""tourism"",""instago"",""wanderlust"",""ilovetravel"",""getoutside"",""travel"",""rockymountain"",""travelphotography""]",32,,4425,4457,Environmental,"['adventure', 'hiking', 'park', 'park']",en,0.28046596,positive,parks.canada_instagram,,,,,,,,
2,2017-09-24_17-02-45,9/24/2017 17:02,https://instagram.fyvr3-1.fna.fbcdn.net/vp/171bd8033f936918ad48c5d4ced79ea5/5AE59FBB/t51.2885-15/e35/21984868_1239667369472027_2988847756803571712_n.jpg,Can we just take a moment to appreciate these gorgeous colours? ️ Take the beauty in for real: journey to the picturesque granite islands and windswept pine trees of Thousand Islands National Park! : .j.fernandez..... ,take moment appreciate gorgeous colours Take beauty real journey picturesque granite islands windswept pine trees Thousand Islands National Park eric fernandez thousandislands thousandislandsNP DiscoverON ontario exploreontario ontariocanada canada parkscanada exploreCanada ohcanada enjoycanada tourcanada instatravel travelgram tourism instago wanderlust ilovetravel getoutside travel travelphotography roadtrip sunset view beautiful getoutside beachday,"[""thousandislands"",""thousandislandsnp"",""discoveron"",""ontario"",""ontario_adventures"",""exploreontario"",""ontariocanada"",""canada"",""parkscanada"",""explorecanada"",""ohcanada"",""enjoycanada"",""tourcanada"",""instatravel"",""travelgram"",""tourism"",""instago"",""wanderlust"",""ilovetravel"",""getoutside"",""travel"",""travelphotography"",""roadtrip"",""sunset"",""view"",""beautiful"",""getoutside"",""beachday""]",32,,4413,4445,Environmental,['tree'],en,0.309408602,positive,parks.canada_instagram,,,,,,,,
0,2017-10-28_15-39-25,10/28/2017 15:39,https://instagram.fyvr3-1.fna.fbcdn.net/vp/a70325f4acfb2eba13bb2381764cc462/5AF72BFF/t51.2885-15/e35/22794514_296598797504733_5953160006122602496_n.jpg,The wandering coastal pathways of Gros Morne National Park are calling your name... : .....,wandering coastal pathways Gros Morne National Park calling name cjonesphoto GrosMorne GrosMorneNP NL Newfoundland coastal Liveyouradventure Instatravel Vacation TravelGram Travel LiveOutdoors Instago Wanderlust Wanderer Travelphotography ILoveTravel Trip Vacay TravelTheWorld ParksCanada Canada150 Bucketlist DestinationCanada Dreamy eastcoast,"[""grosmorne"",""grosmornenp"",""nl"",""newfoundland"",""coastal"",""liveyouradventure"",""instatravel"",""vacation"",""travelgram"",""travel"",""liveoutdoors"",""instago"",""wanderlust"",""wanderer"",""travelphotography"",""ilovetravel"",""trip"",""vacay"",""traveltheworld"",""parkscanada"",""canada150"",""bucketlist"",""destinationcanada"",""dreamy"",""eastcoast""]",24,,5387,5411,Environmental,"['coastal', 'park']",en,0.247239583,positive,parks.canada_instagram,,,,,,,,
1,2017-10-24_17-41-27,10/24/2017 17:41,https://instagram.fyvr3-1.fna.fbcdn.net/vp/55c35a69aff9eb084f9d28b7b773845e/5AE07A91/t51.2885-15/e35/22794387_171237773456393_4516856890038157312_n.jpg,The vibrant colours of La Mauricie National Park are unparalleled! Plan your fall adventure today. : .....,vibrant colours La Mauricie National Park unparalleled Plan fall adventure today MauricieNP mauricie parkscanada natureaddicts exploreeverything explorecanada explorequebec landscape wildernessculture enjoycanada findyourselfoutside outbackcollective freshairandfreedom exploreQuebec Canada150 quebec,"[""mauricienp"",""mauricie"",""parkscanada"",""natureaddicts"",""exploreeverything"",""landscape_capture"",""instanature_canada"",""instanature_canada"",""explorecanada"",""explorequebec"",""landscape"",""wildernessculture"",""enjoycanada"",""findyourselfoutside"",""outbackcollective"",""freshairandfreedom"",""explorequebec"",""canada150"",""quebec""]",33,,5264,5297,Social,"['park', 'adventure']",ca,0.318939394,positive,parks.canada_instagram,,,,,,,,
2,2017-10-29_16-01-56,10/29/2017 16:01,https://instagram.fyvr3-1.fna.fbcdn.net/vp/3e0fe8f008a40a0e76a747c6d07d29e0/5AEECB2B/t51.2885-15/e35/22858286_2036799996564913_715675202305916928_n.jpg,"Take a hike at Terra Nova National Park! There are more than km of hiking trails, ranging from half-hour strolls to strenuous multi-day hikes. The perfect fall hike awaits!: .....",Take hike Terra Nova National Park 80 km hiking trails ranging half hour strolls strenuous multi day hikes perfect fall hike awaits voltchu canada parkscanada exploreCanada ohcanada enjoycanada tourcanada instatravel travelgram tourism instago wanderlust ilovetravel getoutside travel travelphotography roadtrip Canada150 TerraNova TerraNovaNP Newfoundland EastCoast,"[""canada"",""parkscanada"",""explorecanada"",""ohcanada"",""enjoycanada"",""tourcanada"",""instatravel"",""travelgram"",""tourism"",""instago"",""wanderlust"",""ilovetravel"",""getoutside"",""travel"",""travelphotography"",""roadtrip"",""canada150"",""terranova"",""terranovanp"",""newfoundland"",""eastcoast""]",21,,4797,4818,Environmental,['hiking'],en,0.366380071,positive,parks.canada_instagram,,,,,,,,
0,9.2869E+17,11/9/2017 18:24,[],RT @VeteransENG_CA: RT to remember &amp; get a reminder on 11/11. Join our tribute and be added to a mosaic remembering Canada's Veterans #Cana…,RT RT remember amp get reminder 11 11 Join tribute added mosaic remembering Canada Veterans,['#Cana'],,24496,0,24496,Social,['veterans'],en,0,Neutral,NRCan_tweeter,,,,,,,,
1,9.25738E+17,11/1/2017 14:56,[],RT @VeteransENG_CA: RT to remember &amp; get a reminder on 11/11. Join our tribute and be added to a mosaic remembering Canada's Veterans #Cana…,RT RT remember amp get reminder 11 11 Join tribute added mosaic remembering Canada Veterans,['#Cana'],,24496,0,24496,Social,['veterans'],en,0,Neutral,CCG_GCC_tweeter,,,,,,,,
2,9.26473E+17,11/3/2017 15:35,[],RT @VeteransENG_CA: RT to remember &amp; get a reminder on 11/11. Join our tribute and be added to a mosaic remembering Canada's Veterans #Cana…,RT RT remember amp get reminder 11 11 Join tribute added mosaic remembering Canada Veterans,['#Cana'],,24496,0,24496,Social,['veterans'],en,0,Neutral,GCIndigenous_tweeter,,,,,,,,
0,2017-12-29_10-27-12,12/29/2017 10:27,https://instagram.fyvr3-1.fna.fbcdn.net/vp/f45a35039e1403cab4417257b19574b2/5AE3FC14/t51.2885-15/e35/26074021_183745329029406_8019917742339522560_n.jpg,"We had an amazing on Instagram, swipe through to see our TOP TEN posts! ⭐️ Thank you for following and tagging us in all of your incredible photos this year. We're so pleased to be a part of your adventures and your . Did YOUR favourite make the list?.....",amazing 2017 Instagram swipe see TOP TEN posts Thank following tagging us incredible photos year pleased part adventures Canada150 favourite make list canada parkscanada exploreCanada ohcanada enjoycanada tourcanada instatravel travelgram tourism instago wanderlust ilovetravel getoutside travel travelphotography roadtrip Canada150 bucketlist wanderlust,"[""canada150"",""canada"",""parkscanada"",""explorecanada"",""ohcanada"",""enjoycanada"",""tourcanada"",""instatravel"",""travelgram"",""tourism"",""instago"",""wanderlust"",""ilovetravel"",""getoutside"",""travel"",""travelphotography"",""roadtrip"",""canada150"",""bucketlist"",""wanderlust""]",119,,9444,9563,Social,"['instagram', 'photo', 'adventure']",en,0.340341563,positive,parks.canada_instagram,,,,,,,,
1,2017-12-19_13-50-08,12/19/2017 13:50,https://instagram.fyvr3-1.fna.fbcdn.net/vp/88f27420a9b573fcc600409964a59af7/5AEC8B75/t51.2885-15/e35/25018388_1973615779521052_6366722823666270208_n.jpg,"Bruce Peninsula National Park welcomes elorers of all ages to uncover the natural wonders of its limestone coasts, mixed-wood forests, cliffside cedars, clear-water lakes and vibrant orchids.: .....",Bruce Peninsula National Park welcomes explorers ages uncover natural wonders limestone coasts mixed wood forests cliffside cedars clear water lakes vibrant orchids zachbaranowski BrucePeninsulaNationalPark BrucePeninsula BrucePeninsulaNP ExploreCanada parkscanada canada canadaswonderland igerscanada ohcanada canadaday igcanada tourcanada enjoycanada adventure wanderlust DiscoverON ontario lakeontario northernontario ontarioparks exploreontario ontariocanada,"[""brucepeninsulanationalpark"",""brucepeninsula"",""brucepeninsulanp"",""explorecanada"",""parkscanada"",""canada"",""canadaswonderland"",""igerscanada"",""ohcanada"",""canadaday"",""ig_canada"",""oh_canada"",""igcanada"",""snapshot_canada"",""tourcanada"",""enjoycanada"",""adventure"",""wanderlust"",""discoveron"",""ontario"",""lakeontario"",""ontario_adventures"",""northernontario"",""ontarioparks"",""exploreontario"",""ontariocanada""]",54,,5951,6005,Environmental,"['park', 'natural', 'limestone', 'coast', 'forest', 'lake']",en,0.156742288,positive,parks.canada_instagram,,,,,,,,
